season,week,gsisId
2026,1,00-0033838
2026,1,00-0033839
2026,1,00-0033840
2026,1,00-0033854
2026,1,00-0033856
2026,1,00-0033857
2026,1,00-0033859
2026,1,00-0033869
2026,1,00-0033871
2026,1,00-0033879
2026,1,00-0033891
2026,1,00-0033893
2026,1,00-0033895
2026,1,00-0033896
2026,1,00-0033897
2026,1,00-0033899
2026,1,00-0033906
2026,1,00-0033911
2026,1,00-0033919
2026,1,00-0033923
2026,1,00-0033925
2026,1,00-0033932
2026,1,00-0033933
2026,1,00-0033936
2026,1,00-0033937
2026,1,00-0033943
2026,1,00-0033948
2026,1,00-0033949
2026,1,00-0033950
2026,1,00-0033951
2026,1,00-0033953
2026,1,00-0033955
2026,1,00-0033957
2026,1,00-0033958
2026,1,00-0033966
2026,1,00-0033967
2026,1,00-0033992
2026,1,00-0033994
2026,1,00-0034007
2026,1,00-0034010
2026,1,00-0034011
2026,1,00-0034025
2026,1,00-0034034
2026,1,00-0034035
2026,1,00-0034038
2026,1,00-0034052
2026,1,00-0034054
2026,1,00-0034057
2026,1,00-0034073
2026,1,00-0034074
2026,1,00-0034081
2026,1,00-0034099
2026,1,00-0034100
2026,1,00-0034104
2026,1,00-0034106
2026,1,00-0034109
2026,1,00-0034115
2026,1,00-0034126
2026,1,00-0034131
2026,1,00-0034132
2026,1,00-0034133
2026,1,00-0034137
2026,1,00-0034141
2026,1,00-0034144
2026,1,00-0034146
2026,1,00-0034148
2026,1,00-0034149
2026,1,00-0034156
2026,1,00-0034159
2026,1,00-0034164
2026,1,00-0034169
2026,1,00-0034171
2026,1,00-0034177
2026,1,00-0034180
2026,1,00-0034184
2026,1,00-0034192
2026,1,00-0034193
2026,1,00-0034196
2026,1,00-0034200
2026,1,00-0034201
2026,1,00-0034205
2026,1,00-0034207
2026,1,00-0034208
2026,1,00-0034214
2026,1,00-0034219
2026,1,00-0034220
2026,1,00-0034222
2026,1,00-0034237
2026,1,00-0034240
2026,1,00-0034243
2026,1,00-0034244
2026,1,00-0034253
2026,1,00-0034256
2026,1,00-0034258
2026,1,00-0034267
2026,1,00-0034272
2026,1,00-0034273
2026,1,00-0034279
2026,1,00-0034284
2026,1,00-0034286
2026,1,00-0034291
2026,1,00-0034292
2026,1,00-0034294
2026,1,00-0034297
2026,1,00-0034301
2026,1,00-0034309
2026,1,00-0034311
2026,1,00-0034314
2026,1,00-0034315
2026,1,00-0034317
2026,1,00-0034319
2026,1,00-0034330
2026,1,00-0034331
2026,1,00-0034339
2026,1,00-0034340
2026,1,00-0034343
2026,1,00-0034349
2026,1,00-0034353
2026,1,00-0034358
2026,1,00-0034364
2026,1,00-0034366
2026,1,00-0034367
