season,week,offense,defense,down,togo,yardline,margin,seconds,playType,player,passer,airYards,caught,yards,touchdown,shotgun,manZone,coverage,rushers,shell,box,afterCatch
2021,1,LV,BAL,1,10,52,-14,2228,pass,00-0031610,00-0031280,-3,1,9,0,1,,,,,,12
2021,1,LV,BAL,2,1,43,-14,2191,run,00-0033118,,,,0,0,0,,,,,,
2021,1,LV,BAL,3,1,43,-14,2146,pass,00-0031610,00-0031280,18,1,24,0,1,,,,,,6
2021,1,LV,BAL,1,10,19,-14,2100,pass,00-0036357,00-0031280,3,0,0,0,1,,,,,,0
2021,1,LV,BAL,2,10,19,-14,2095,pass,00-0031610,00-0031280,6,1,8,0,1,,,,,,2
2021,1,LV,BAL,1,2,2,-14,2057,run,00-0035700,,,,2,1,1,,,,,,
2021,1,BAL,LV,1,10,75,7,2054,run,00-0036457,,,,1,0,1,,,,,,
2021,1,BAL,LV,2,9,74,7,2012,pass,00-0035662,00-0034796,4,1,13,0,1,,,,,,9
2021,1,BAL,LV,1,10,61,7,1979,run,00-0036457,,,,16,0,1,,,,,,
2021,1,BAL,LV,1,10,45,7,1932,run,00-0030513,,,,3,0,1,,,,,,
2021,1,BAL,LV,2,7,42,7,1920,pass,00-0034753,00-0034796,4,1,4,0,1,,,,,,0
2021,1,BAL,LV,3,3,38,7,1882,run,00-0036457,,,,2,0,1,,,,,,
2021,1,BAL,LV,4,1,36,7,1873,run,00-0030513,,,,0,0,1,,,,,,
2021,1,LV,BAL,1,10,64,-7,1872,pass,00-0031610,00-0031280,19,0,0,0,1,,,,,,0
2021,1,LV,BAL,2,10,64,-7,1867,pass,00-0033891,00-0031280,15,1,15,0,1,,,,,,0
2021,1,LV,BAL,1,10,49,-7,1844,pass,00-0034983,00-0031280,7,0,0,0,1,,,,,,0
2021,1,LV,BAL,2,10,49,-7,1839,pass,00-0036357,00-0031280,40,0,0,0,1,,,,,,0
2021,1,LV,BAL,3,10,49,-7,1833,pass,00-0034983,00-0031280,4,1,13,0,1,,,,,,9
2021,1,LV,BAL,1,10,36,-7,1827,pass,00-0034983,00-0031280,4,1,7,0,1,,,,,,3
2021,1,LV,BAL,2,3,29,-7,1822,pass,00-0036365,00-0031280,28,0,0,0,1,,,,,,0
2021,1,LV,BAL,1,10,14,-7,1810,pass,,00-0031280,0,0,-2,0,1,,,,,,0
2021,1,BAL,LV,1,10,75,4,1800,pass,00-0034753,00-0034796,9,1,10,0,1,,,,,,1
2021,1,BAL,LV,1,10,65,4,1760,pass,00-0036331,00-0034796,35,0,0,0,1,,,,,,0
2021,1,BAL,LV,1,10,60,4,1749,run,00-0030513,,,,4,0,1,,,,,,
2021,1,BAL,LV,2,6,56,4,1707,pass,00-0031325,00-0034796,5,0,0,0,1,,,,,,0
2021,1,BAL,LV,3,6,56,4,1703,pass,00-0031325,00-0034796,11,0,0,0,1,,,,,,0
2021,1,LV,BAL,1,10,93,-4,1690,run,00-0035700,,,,2,0,0,,,,,,
2021,1,LV,BAL,2,8,91,-4,1657,pass,00-0031610,00-0031280,4,0,0,0,1,,,,,,0
2021,1,LV,BAL,3,15,98,-4,1601,run,00-0033118,,,,2,0,0,,,,,,
2021,1,BAL,LV,1,10,38,4,1548,pass,00-0033376,00-0034796,1,0,0,0,1,,,,,,0
2021,1,BAL,LV,2,10,38,4,1544,run,00-0034796,,,,11,0,1,,,,,,
2021,1,BAL,LV,1,10,27,4,1500,run,00-0030513,,,,6,0,1,,,,,,
2021,1,BAL,LV,2,4,21,4,1457,run,00-0036457,,,,-1,0,1,,,,,,
2021,1,BAL,LV,3,5,22,4,1413,pass,00-0036457,00-0034796,2,0,0,0,1,,,,,,0
2021,1,LV,BAL,1,10,80,-7,1400,run,00-0031280,,,,4,0,0,,,,,,
2021,1,LV,BAL,2,6,76,-7,1375,pass,00-0033118,00-0031280,-1,1,4,0,1,,,,,,5
2021,1,LV,BAL,1,20,50,-7,1293,pass,00-0033118,00-0031280,0,1,12,0,1,,,,,,12
2021,1,LV,BAL,2,8,38,-7,1262,pass,00-0031610,00-0031280,13,1,16,0,1,,,,,,3
2021,1,LV,BAL,1,10,22,-7,1218,pass,00-0031610,00-0031280,1,1,2,0,1,,,,,,1
2021,1,LV,BAL,2,8,20,-7,1173,pass,00-0035125,00-0031280,1,1,3,0,1,,,,,,2
2021,1,LV,BAL,3,5,17,-7,1142,pass,00-0034983,00-0031280,3,1,4,0,1,,,,,,1
2021,1,LV,BAL,4,1,13,-7,1105,run,00-0035700,,,,0,0,1,,,,,,
2021,1,BAL,LV,1,10,87,7,1102,run,00-0034796,,,,15,0,1,,,,,,
2021,1,BAL,LV,1,10,72,7,1058,pass,00-0036457,00-0034796,1,1,6,0,1,,,,,,5
2021,1,BAL,LV,2,4,66,7,1010,run,00-0034164,,,,3,0,1,,,,,,
2021,1,BAL,LV,2,11,73,7,985,pass,00-0035662,00-0034796,4,1,4,0,1,,,,,,0
2021,1,BAL,LV,3,7,69,7,943,pass,,00-0034796,0,0,-6,0,1,,,,,,0
2021,1,LV,BAL,1,10,59,-7,889,pass,00-0036357,00-0031280,18,0,0,0,1,,,,,,0
