season,week,gameId,offense,defense,half,startYard,result,plays,netYards,firstCall,firstYards,spread,total
2024,7,2024_07_NE_JAX,JAX,NE,2,70,Field goal,11,67,pass,10,6.5,42
2024,7,2024_07_NYJ_PIT,PIT,NYJ,1,70,Field goal,6,42,run,4,-3,40
2024,7,2024_07_NYJ_PIT,NYJ,PIT,2,75,Punt,4,26,pass,18,3,40
2024,7,2024_07_PHI_NYG,NYG,PHI,1,65,Punt,4,20,pass,13,-3,42
2024,7,2024_07_PHI_NYG,PHI,NYG,2,70,Punt,3,4,pass,1,3,42
2024,7,2024_07_SEA_ATL,SEA,ATL,1,76,Field goal,10,56,pass,0,-3,51.5
2024,7,2024_07_SEA_ATL,ATL,SEA,2,79,Touchdown,14,79,run,0,3,51.5
2024,7,2024_07_TEN_BUF,BUF,TEN,1,70,Punt,3,9,run,5,9.5,41
2024,7,2024_07_TEN_BUF,TEN,BUF,2,64,Turnover on downs,4,5,run,1,-9.5,41
2024,8,2024_08_ARI_MIA,MIA,ARI,1,64,Touchdown,10,64,run,11,4,46.5
2024,8,2024_08_ARI_MIA,ARI,MIA,2,70,Field goal,4,32,pass,37,-4,46.5
2024,8,2024_08_ATL_TB,TB,ATL,1,70,Turnover,2,13,run,8,-1.5,47
2024,8,2024_08_ATL_TB,ATL,TB,2,72,Punt,4,2,run,3,1.5,47
2024,8,2024_08_BAL_CLE,BAL,CLE,1,77,Turnover on downs,10,68,pass,9,7.5,44.5
2024,8,2024_08_BAL_CLE,CLE,BAL,2,70,Touchdown,8,70,pass,14,-7.5,44.5
2024,8,2024_08_BUF_SEA,SEA,BUF,1,70,Punt,3,1,pass,0,-3,45.5
2024,8,2024_08_BUF_SEA,BUF,SEA,2,87,Field goal,10,79,pass,15,3,45.5
2024,8,2024_08_CAR_DEN,DEN,CAR,1,70,Turnover,3,18,run,3,13,40.5
2024,8,2024_08_CAR_DEN,CAR,DEN,2,70,Punt,3,-1,run,2,-13,40.5
2024,8,2024_08_CHI_WAS,CHI,WAS,1,70,Punt,3,-10,run,1,-1.5,46.5
2024,8,2024_08_CHI_WAS,WAS,CHI,2,70,Punt,8,31,pass,6,1.5,46.5
2024,8,2024_08_DAL_SF,DAL,SF,1,75,Punt,5,16,run,7,-5.5,48
2024,8,2024_08_DAL_SF,SF,DAL,2,60,Touchdown,5,60,run,0,5.5,48
2024,8,2024_08_GB_JAX,GB,JAX,1,70,Punt,6,16,pass,7,3.5,49
2024,8,2024_08_GB_JAX,JAX,GB,2,70,Punt,3,8,run,4,-3.5,49
2024,8,2024_08_IND_HOU,HOU,IND,1,57,Field goal,8,41,pass,0,5,45
2024,8,2024_08_IND_HOU,IND,HOU,2,70,Punt,6,29,run,13,-5,45
2024,8,2024_08_KC_LV,KC,LV,1,70,Touchdown,9,70,pass,-1,9,42
2024,8,2024_08_KC_LV,LV,KC,2,70,Punt,3,1,run,1,-9,42
2024,8,2024_08_MIN_LA,MIN,LA,1,70,Touchdown,8,70,run,5,3,47.5
2024,8,2024_08_MIN_LA,LA,MIN,2,70,Turnover,6,24,pass,4,-3,47.5
2024,8,2024_08_NO_LAC,LAC,NO,1,75,Punt,3,-2,pass,-2,7,41.5
2024,8,2024_08_NO_LAC,NO,LAC,2,60,Punt,3,7,run,3,-7,41.5
2024,8,2024_08_NYG_PIT,PIT,NYG,1,70,Field goal,9,57,pass,12,6,37.5
2024,8,2024_08_NYG_PIT,NYG,PIT,2,70,Punt,8,27,run,0,-6,37.5
2024,8,2024_08_NYJ_NE,NE,NYJ,1,70,Punt,3,5,run,6,-7,41
2024,8,2024_08_NYJ_NE,NYJ,NE,2,70,Punt,3,6,run,6,7,41
